File Name,Airwaybill / AWB number,Shipper name,Consignee name,Issuer details,Shipper account number,Consignee account number,Agent IATA code,Departure airport,Destination airport,Declared value,Invoice number,Invoice date,Sb number,Sb date,HS code / HSN code,Weight,Dimensions/measurements,Hawb / hbl number,Payment terms
AWB_603-50035462_LHR4912,LHR4912,KENTEC ELECTRONICS LTD,INTRALOG ONE-SOLUTION(S) PTE. LTD,SPRINT WORLD LTD,ZZZZZZ,ZZZZZZ,914-5607/0005,LONDON HEATHROW,SINGAPORE (SIN),0,437666,ZZZZZZ,ZZZZZZ,ZZZZZZ,ZZZZZZ,ZZZZZZ,ZZZZZZ,ZZZZZZ,ZZZZZZ
AWB_603-50035462,603-50035462,SPRINT WORLD LTD,CARGOSAVVY PTE. LTD.,"Issued by KATANAYAKE, SRI LANKA",ZZZZZZ,ZZZZZZ,914-5607/0005,LONDON HEATHROW,SINGAPORE (SIN),NCV,ZZZZZZ,ZZZZZZ,ZZZZZZ,ZZZZZZ,ZZZZZZ,2281.25,ZZZZZZ,ZZZZZZ,ZZZZZZ
